feature,Gain,IncNodePurity,High,Low
trend.asics_a_2,0.001662567,104611.4421,1,0
trend.Uhlsport_a_2,0.002161279,106125.3704,1,0
trend.Jordan_a_1,0.002519398,107159.7405,1,0
trend.Amazon_a_3,0.001505897,109851.3039,1,0
trend.bonton_a_3,0.000787759,110087.7027,1,0
trend.adidas_a_3,0.000946852,110377.628,1,0
trend.Converse_a_3,0.002071847,112149.828,1,0
date.wdSunday,0.000325751,114178.4613,1,0
trend.Uhlsport_b1,0.003553094,117979.202,1,0
trend.Reebok_a_4,0.001459451,118412.7181,1,0
rrp,0.010992308,120092.1773,1,0
trend.KangaROOS_a_1,0.002967365,126377.1899,1,0
